斡旋, あっせん, 間に入って双方をうまく取り持つこと。周旋
安寧, あんねい, 社会が穏やかで平和なこと。安泰。
失脚, しっきゃく, 物事に失敗し、地位を失うこと。
緑青, ろくしょう, 金属が酸化してできる緑色のサビ。
勅令, ちょくれい, 天皇の命令
更迭, こうてつ, 組織や団体内で、ある人の役職や地位を解き、他の人を任命すること。
御法度, ごはっと, 禁じられていること。
謀反, むほん,　臣下が、君主にそむいて兵をおこすこと。
行脚, あんぎゃ,　僧が諸国をめぐり歩いて修行すること。転じて、方々を（徒歩で）旅行すること。
頒布, はんぷ,　広く分けて配り、行きわたらせること。
疾病, しっぺい, 病気。
愛猫, あいびょう, 可愛がっている猫。
遺憾, いかん, 思い通りに物事が進まずに心残りがある様子。または残念な様子。
慶弔, けいちょう, お祝い事とお悔やみ事。
栄誉, えいよ, ほまれ。名誉。
窃盗, せっとう, 他人の物をこっそり盗むこと。
審議, しんぎ, 詳しく話し合って決めること。
収賄, しゅうわい, 公務員などが不正に金品を受け取ること。
拘束, こうそく, 行動や自由をしばること。
施行, しこう, 実際に行うこと。法律などを実際に使い始めること。
赴任, ふにん, 任務を受けて新しい勤め先に行くこと。
謁見, えっけん, 身分の高い人に会うこと。
逝去, せいきょ, 亡くなることの尊敬語。
列挙, れっきょ, 順を追って並べ挙げること。
罷免, ひめん, 職を辞めさせること。
頓挫, とんざ, 計画などが途中でだめになること。
謹慎, きんしん, 行動を控えて反省すること。
避難, ひなん, 危険をさけて安全な場所へ移ること。
粛清, しゅくせい, 組織内の反対者などを排除すること。
即座, そくざ, すぐその場で物事を行うようす。
黙認, もくにん, よくないことを知っていながら黙って許すこと。
収束, しゅうそく, 混乱した状態が落ち着くこと。
圧巻, あっかん, 一番すぐれた部分。最もすぐれた作品や場面。
