齟齬, そご, 物事や意見がうまく合わないこと。
矜持, きょうじ, 自分の信念に誇りを持つ気持ち。プライド。
曖昧, あいまい, はっきりしないこと。あやふや。
譫妄, せんもう, 意識が混乱し、つじつまの合わないことを言ったりする状態。
贖罪, しょくざい, 犯した罪をつぐなうこと。
忖度, そんたく, 他人の気持ちをおしはかること。
驟雨, しゅうう, 急に降りだしてすぐやむ激しい雨。
恣意, しい, 自分勝手な考え。気まま。
齷齪, あくせく, 小さなことに心を奪われて忙しく動く様子。
諫言, かんげん, 目上の人の過ちをいさめること。
眩暈, めまい, 目が回る感じ。頭がふらふらすること。
廓然, かくぜん, 心や気持ちがすっきりと晴れる様子。
頽廃, たいはい, 風紀や道徳がくずれること。
誤謬, ごびゅう, 間違い。誤った考え。
闊達, かったつ, 心が広く、小さなことにこだわらないこと。
恍惚, こうこつ, うっとりして意識がぼんやりする様子。
厭世, えんせい, 人生や世の中に嫌気がさすこと。
窈窕, ようちょう, しとやかで美しいさま（特に女性の姿）。
醍醐味, だいごみ, 本当のおもしろさや深い味わい。
妖艶, ようえん, 妖しくなまめかしく色っぽいこと。
憐憫, れんびん, かわいそうに思うこと。あわれみ。
轍轍, てつてつ, 車が通ったあとに残るわだち。
幽玄, ゆうげん, 奥深くはかり知れない美しさ。
悍馬, かんば, 気性が荒くて御しにくい馬。また、手に負えない人物のたとえ。
彷徨, ほうこう, あてもなくさまようこと。
遷延, せんえん, 物事がだらだらと長引くこと。
纏綿, てんめん, 情がこまやかで、離れがたいさま。
澱粉, でんぷん, 植物にふくまれる炭水化物の一種。
扮装, ふんそう, 別の人物や役になりきって服装を整えること。
懊悩, おうのう, 苦しみ悩むこと。
