発表, はっぴょう, 自分の考えや調べたことを人に伝えること。
経験, けいけん, 実際にやってみたり体験すること。
未来, みらい, これから先のこと。
計画, けいかく, 前もって考えたやり方や予定。
努力, どりょく, 一生けんめいがんばること。
進歩, しんぽ, だんだん良くなっていくこと。
希望, きぼう, こうなったらいいなと思うこと。
感謝, かんしゃ, ありがたいと思う気持ち。
発見, はっけん, はじめて見つけること。
自然, しぜん, 人の手を加えない山や川などの世界。
工夫, くふう, よりよくするために考えをめぐらすこと。
説明, せつめい, わかるように話すこと。
必要, ひつよう, なくてはならないこと。
利用, りよう, うまく使うこと。
整理, せいり, かたづけて分かりやすくすること。
環境, かんきょう, 自分のまわりの自然や生活のようす。
安全, あんぜん, 危なくないこと。
計算, けいさん, 数をたして答えを出すこと。
結果, けっか, 行ったことのあとに出てくること。
調査, ちょうさ, よく調べること。
問題, もんだい, 解決しなければならない事がら。
確認, かくにん, まちがいがないかたしかめること。
発明, はつめい, 新しいものを考え出すこと。
予習, よしゅう, 前もって勉強しておくこと。
復習, ふくしゅう, 習ったことをもう一度学ぶこと。
連絡, れんらく, 相手に知らせること。
準備, じゅんび, 前もって用意すること。
責任, せきにん, 自分のしたことに対して取るべき行動。
発展, はってん, 高まって広がっていくこと。
支援, しえん, 応援して助けること。
挑戦, ちょうせん, むずかしいことに立ち向かうこと。
